row_id,ESE_total,log10_revenue,revenue_cat_2022
3102,5,5.096910013008056,"$50,001 - $125,000"
3110,33,4.3979,"$5,001 - $25,000"
3125,26,4.699,"$25,001 - $50,000"
3133,2,8,"$10,000,001 or more"
3158,33,5.698970004336019,"$200,001 - $500,000"
3159,29,5.698970004336019,"$200,001 - $500,000"
3193,3,4.699,"$25,001 - $50,000"
3204,34,6,"$500,001 - $1,000,000"
3221,19,5.698970004336019,"$200,001 - $500,000"
3236,22,4.3979,"$5,001 - $25,000"
3250,12,4.3979,"$5,001 - $25,000"
3258,21,4.3979,"$5,001 - $25,000"
3260,1,3.699,"$0 - $5,000"
3263,42,5.096910013008056,"$50,001 - $125,000"
3264,29,3.699,"$0 - $5,000"
3266,21,6.698970004336019,"$1,000,001 - $5,000,000"
3276,42,6.698970004336019,"$1,000,001 - $5,000,000"
3277,41,5.301029995663981,"$125,001 - $200,000"
3301,23,4.699,"$25,001 - $50,000"
3316,38,8,"$10,000,001 or more"
3318,17,5.301029995663981,"$125,001 - $200,000"
3319,22,4.3979,"$5,001 - $25,000"
3323,33,4.699,"$25,001 - $50,000"
3344,22,6,"$500,001 - $1,000,000"
3352,42,6,"$500,001 - $1,000,000"
3355,4,4.699,"$25,001 - $50,000"
3367,27,6.698970004336019,"$1,000,001 - $5,000,000"
3368,38,4.699,"$25,001 - $50,000"
3373,28,4.699,"$25,001 - $50,000"
3378,30,3.699,"$0 - $5,000"
3382,14,4.3979,"$5,001 - $25,000"
3384,31,4.3979,"$5,001 - $25,000"
3386,42,7,"$5,000,001 - $10,000,000"
3387,42,5.096910013008056,"$50,001 - $125,000"
3389,40,7,"$5,000,001 - $10,000,000"
3392,23,3.699,"$0 - $5,000"
3400,11,4.3979,"$5,001 - $25,000"
3413,0,4.699,"$25,001 - $50,000"
3421,38,8,"$10,000,001 or more"
3427,23,5.698970004336019,"$200,001 - $500,000"
3432,34,5.096910013008056,"$50,001 - $125,000"
3437,30,3.699,"$0 - $5,000"
3449,30,6,"$500,001 - $1,000,000"
3461,34,5.096910013008056,"$50,001 - $125,000"
3465,37,4.699,"$25,001 - $50,000"
3472,21,3.699,"$0 - $5,000"
3479,21,5.698970004336019,"$200,001 - $500,000"
3481,35,4.3979,"$5,001 - $25,000"
3488,42,6,"$500,001 - $1,000,000"
3508,28,5.698970004336019,"$200,001 - $500,000"
3509,39,5.698970004336019,"$200,001 - $500,000"
3522,20,7,"$5,000,001 - $10,000,000"
3533,38,5.096910013008056,"$50,001 - $125,000"
3547,27,3.699,"$0 - $5,000"
3555,22,4.3979,"$5,001 - $25,000"
3560,4,6.698970004336019,"$1,000,001 - $5,000,000"
3569,21,5.096910013008056,"$50,001 - $125,000"
3582,20,3.699,"$0 - $5,000"
3584,22,5.698970004336019,"$200,001 - $500,000"
3588,27,5.096910013008056,"$50,001 - $125,000"
3589,33,5.698970004336019,"$200,001 - $500,000"
3591,22,5.698970004336019,"$200,001 - $500,000"
3592,0,4.3979,"$5,001 - $25,000"
3593,39,6.698970004336019,"$1,000,001 - $5,000,000"
3594,26,4.699,"$25,001 - $50,000"
3595,42,4.699,"$25,001 - $50,000"
3601,36,4.3979,"$5,001 - $25,000"
3602,37,4.3979,"$5,001 - $25,000"
3611,17,5.301029995663981,"$125,001 - $200,000"
3632,26,4.699,"$25,001 - $50,000"
3651,12,6,"$500,001 - $1,000,000"
3660,16,3.699,"$0 - $5,000"
3673,29,5.301029995663981,"$125,001 - $200,000"
3676,36,6,"$500,001 - $1,000,000"
3694,42,5.301029995663981,"$125,001 - $200,000"
3696,15,5.698970004336019,"$200,001 - $500,000"
3705,21,5.698970004336019,"$200,001 - $500,000"
3708,38,3.699,"$0 - $5,000"
